0;0,5;0,133974596;0,5;0,133974596;0,5;0,133974596
0,001;0,499997831;0,133973344;0,499824615;0,133873361;0,499651378;0,133773413
0,002;0,499991336;0,133969594;0,499644885;0,133769667;0,499298353;0,133569879
0,003;0,499980511;0,133963344;0,499460805;0,133663515;0,498940918;0,133363998
0,004;0,499965268;0,133954545;0,499272373;0,133554908;0,498579073;0,133155776
0,005;0,499945783;0,133943296;0,499079593;0,133443851;0,498212818;0,132945222
0,006;0,499921967;0,133929549;0,498882462;0,133330346;0,497842153;0,132732342
0,007;0,499893821;0,133913303;0,498680982;0,133214399;0,497467078;0,132517144
0,008;0,499861345;0,133894559;0,498475151;0,133096012;0,497087594;0,132299635
0,009;0,499824539;0,133873318;0,49826497;0,132975191;0,496703701;0,132079823
0,01;0,499783403;0,13384958;0,49805044;0,132851939;0,496315398;0,131857716
0,011;0,499737937;0,133823347;0,497831559;0,132726261;0,495922687;0,131633321
0,012;0,49968814;0,133794619;0,497608329;0,13259816;0,495525566;0,131406647
0,013;0,499634014;0,133763397;0,497380748;0,132467642;0,495124036;0,1311777
0,014;0,499575557;0,133729683;0,497148818;0,132334712;0,494718098;0,13094649
0,015;0,499512771;0,133693477;0,496912538;0,132199372;0,494307751;0,130713024
0,016;0,499445654;0,133654781;0,496671908;0,132061629;0,493892996;0,13047731
0,017;0,499374207;0,133613596;0,496426929;0,131921487;0,493473833;0,130239357
0,018;0,499298431;0,133569924;0,4961776;0,131778951;0,493050262;0,129999173
0,019;0,499218324;0,133523765;0,495923922;0,131634026;0,492622283;0,129756766
0,02;0,499133887;0,133475123;0,495665894;0,131486717;0,492189897;0,129512145
0,021;0,49904512;0,133423998;0,495403516;0,13133703;0,491753104;0,129265319
0,022;0,498952023;0,133370391;0,495136789;0,131184968;0,491311904;0,129016296
0,023;0,498854596;0,133314306;0,494865713;0,131030538;0,490866297;0,128765084
0,024;0,498752839;0,133255744;0,494590288;0,130873745;0,490416285;0,128511694
0,025;0,498646751;0,133194706;0,494310514;0,130714595;0,489961866;0,128256133
